,YAL005C,YAR015W,YBL092W,YBR084W,YCL018W,YDR158W,YDR365C,YDR378C,YDR502C,YER073W,YER094C,YFL037W,YFR009W,YGL009C,YGL062W,YGL253W,YGR130C,YHR007C,YHR020W,YHR068W,YIL094C,YKL001C,YKL210W,YLR061W,YLR075W,YLR153C,YLR229C,YLR244C,YLR314C,YLR448W,YMR105C,YMR146C,YMR229C,YNL255C,YOL061W,YOR198C,YOR261C,YOR298C-A,YOR303W,YPL249C-A
YER129W,8.836422560277859,7.8233204178252365,8.488195205264207,4.995609962094336,8.724168409141491,8.131310202267215,4.394729086261882,6.290999089231723,8.539462809661147,5.761914539957094,6.334273885424081,7.843750935215107,5.801024321857296,7.359570946157415,5.681398345650577,8.796587228234667,5.193108440176639,5.947160381798327,6.162649007431773,6.426229794529847,8.217865628234115,6.6710906184048895,6.8960424941736544,6.45568626167062,8.776183773602568,6.2517208203811485,4.346377095461788,5.225749188792804,6.2910970826553045,7.501260096811256,5.7818172804726204,6.681697012172334,4.132233517952505,3.3808445142497114,4.937930020762545,6.772258291136112,5.188404884876588,6.341249670391392,6.406223503637153,4.923950593710903
YFL033C,8.423488424756567,7.744701244940081,8.594151742836281,5.445808479806825,8.545486397833825,8.242368368125994,4.102140684972036,6.147490219036088,8.490045461092842,5.604977845651593,6.364058095503032,7.832400726756397,5.371960705712832,7.860091040828768,6.072633356156268,8.438573672092438,4.287829722738008,6.153743510634648,6.407584448271224,6.503239493314941,8.069743914242832,6.1080997147451015,7.198922512407187,6.161212157464672,8.372440933324855,6.981655488242756,4.2636950555604685,5.388030813192422,6.024989534920543,7.754971136405379,5.147590378716141,6.624056298387255,4.483193350085024,3.8600483246555615,4.380727189819643,6.7837349215655385,4.824434141775422,6.047189227037324,6.791826041029445,4.670327306599736
YFR014C,8.56178147987002,7.6234839277989686,8.67116096538911,5.261191772121894,8.689629379630231,8.307719970512897,4.2179545414255815,6.2417472739683095,8.502019732416754,5.71272193202017,6.116152999549207,7.5738676239599165,5.495909209098897,7.356207969580015,5.7851041735182855,8.451968140828102,4.683649707681238,5.8064200967350414,6.482373590877589,6.6212122568389296,8.036467087802539,6.373266370302543,6.367179673549818,6.420119439293456,8.308748834409718,6.958715892346666,4.616472662673461,5.644042799545892,6.214201871906469,7.548230519096324,5.290988921864461,6.987481939738264,3.9942243973660374,3.1942888166352783,4.7461087589423565,6.979857128937267,5.278512196601996,6.446057823886938,6.641990562698635,5.103384782237053
YGL021W,9.036885933204116,7.572879404583429,8.30703033355476,5.284743799620895,8.92239212718992,8.073829901982693,3.8065690152295155,6.177363880027191,8.27400299506888,5.6338319542238935,6.1244682411856335,7.792390529279624,5.4354779656388486,6.981576843756428,5.33428772785339,8.350894850717808,5.017820051466953,5.3768059184232735,6.2111656140014135,6.465050770423738,7.959612039364481,6.3734743301292225,6.5092750995064605,6.513102761584556,8.798268827308071,6.5419398944091345,4.5706305900384265,5.744132691636922,6.1963335745160695,7.518655860598173,6.162342326041608,6.939425671273801,3.767142505617938,3.54001565142633,4.32493334532216,6.913277201462262,5.4237981779804745,6.547647161852119,6.358280783018376,4.585257772416144
YGL083W,8.516212472448172,7.856326729598519,8.580429694482934,5.380098265538408,8.859496001467319,8.179462106045282,4.145011215923182,6.275115050528292,8.377784757786074,5.780879660790496,6.123543306369162,7.601422801137612,5.1971141747372585,7.3326714705295,5.6358432179647995,8.532634933655839,4.446915355539757,5.734995756266433,6.573710436427149,6.5246026646366655,8.094903153909183,6.614819508533174,6.547627271073762,6.435921483127003,8.469113292541506,6.806423029421262,4.441109569665176,5.5692530861608365,6.003948113435383,7.575532998364822,5.1485226877399946,6.981585179820518,3.7744062243906975,3.398534412212053,4.547995572585613,6.9181234487680765,5.848295778812399,6.518307192851777,6.488638338556418,5.002471023706867
YGL119W,8.830974608243368,7.858138724037093,8.478258750842285,5.256731984417387,9.00454910134004,8.200983058945708,3.9271749700017815,6.138388754835267,8.345102054148784,5.859920383262169,6.325265663330289,7.850739776843095,5.447918032185648,7.500809420373117,5.586978792342753,8.467722123876968,4.333703109384174,5.944579326677547,6.0157049589451095,6.636129503471395,8.177916176383375,6.0996813040616775,6.9066924202620985,6.25291794862697,8.423459866273612,6.5594030806322285,4.307469328958447,5.67716153713017,6.175727714063027,7.419512606814619,6.0865864417890725,6.712728835662367,4.368269795578545,3.7905524885823216,4.779631695300048,6.79912466577725,5.165853837254481,6.209922496209479,6.716586563367518,4.724688455253016
YGL158W,8.361978019367571,7.990139806807012,8.533575660080505,5.42365506361376,8.512181313678395,8.212468757889239,4.433574595971759,6.1942756497259115,8.522777018031919,5.932946227455505,6.2535021078478055,7.7105152388265825,5.4407095190086725,7.992536362918467,6.133484752781111,8.824670450019024,4.2180909660521335,6.471458827808106,6.768746883968262,6.71726239524526,7.898568084595418,6.663064416863186,7.042862050409482,6.3858991967081655,8.378853786770456,7.013376941909198,4.017923984617793,5.457715444484352,6.036918869003262,7.568942754891875,5.0640698262020045,6.579183086674951,4.945644775564066,3.525026122881964,4.423126575781133,6.634782826266687,4.940001985979368,5.91564966963754,7.085093274273769,4.501442699901762
YGL179C,8.608063305510132,7.779931171692492,8.529986918885259,5.510895946512255,8.78120570666076,8.08313269254982,4.0488232552744625,6.153504682683656,8.388341716582742,5.719753698161303,6.379754340381094,7.793514044418258,5.413807406054604,7.526321029215131,5.758888640530349,8.454966287105218,4.953982969134116,6.081382302147771,6.155156925303266,6.539085724247793,8.053484650210786,6.187339224551983,6.9513508432647155,6.5099305892399855,8.504081831676151,6.767194767681965,4.2872713120165455,5.7098845103127225,6.132672338483639,7.525378408755617,5.926419635142662,6.7731777442529975,4.721383591752813,3.781912163281042,4.5874451043008495,6.935666840235215,5.297471918822966,6.188317072646548,6.784907985956688,4.776509471599297
YGL180W,8.898145251983465,7.834595147532268,8.591368114845071,5.1369688208492805,8.871819786368869,8.175613690092462,3.6212239930237646,6.1306094451218405,8.109362966436352,5.7876086635062425,6.240250453612683,7.631846086144764,5.376581524556547,7.4844748588907475,5.757440338302696,8.099526376072072,4.60310441941946,5.898625143206162,6.317700119067918,6.407250376909512,8.235044569472404,6.516150252210172,7.009983305813615,6.285193160962727,8.255188326977153,6.580693437077508,4.4042415028983966,5.980723972851756,6.194007847374006,7.627498963388746,5.69530866697027,6.821118722307543,4.533480328024376,4.039346741222815,4.233538434668292,6.731501342175203,5.2438667606718825,6.216599254475559,6.517310834888478,4.562579860589151
YGR040W,8.47660832677599,7.56033280236286,8.876679267603633,5.6676446036851145,8.463504095818605,8.178366071034766,4.4316791574408105,6.069940465942772,8.547173507498215,5.661220835229287,6.3437171453645504,7.687059755140322,5.5583574937592255,7.515820980612474,5.711120586217604,8.414834506688907,4.8435030406134905,6.209442226744868,6.596145316391313,6.5432065792366885,8.014035245925596,5.869110599108378,7.203643110152664,6.445973910827467,8.280948369048263,6.9022496717223785,4.623704055326432,5.614603721429309,6.031704975249829,7.439794304948871,6.048135259496851,6.972222966646854,4.63116633752632,4.111386029687214,4.996474150592605,6.517259900392539,5.464787731658029,6.485780186804697,6.9223533507034976,4.960202890458588
YGR052W,8.421800725474496,7.741924656648284,8.573634961691218,5.20724377241365,8.912446109257631,8.081317839674805,3.606869818524372,6.091024818740639,8.09709437163274,5.9330123486460105,6.430227936668603,7.612066385642558,5.486879297037865,7.566722409846486,5.376258292017195,7.709262232513415,4.580625568743652,5.8587515908473575,5.711235005097902,6.485394718983638,8.249615630701182,6.640545332547388,6.8442936510066845,7.075508096278317,8.105809579280226,6.784978743035937,4.5178099143955865,5.760406725190432,6.507333112150485,8.059045658817809,5.00261631650803,6.878000699745388,4.312217016816153,4.308355539210133,4.134818191459054,6.5435590541801485,5.525301442021563,6.357458633353487,6.572889333991295,4.05382375840906
YGR092W,8.948847527426311,7.8139350115821635,8.363464831570095,5.706570490236894,8.732286879382643,8.024289735337806,4.469269103970814,6.208438267974821,8.505891699476088,5.7770789563844325,6.460760950322976,7.710481939252938,5.445949537118527,7.738161297847202,5.952453028276827,8.5531181767104,4.851093596699736,6.689070343016633,6.994293884695178,6.89013230211642,7.8721777520075715,6.3207249709206215,7.322884656984218,5.999393652451364,8.508369346563065,7.052434697184426,3.8879834710689303,5.603100545829644,6.002650377668491,7.575299937405112,6.209105662068206,6.717052921476908,4.929131809940584,3.1253032737100552,4.270431055822782,6.785392469713606,5.046391782015994,5.650691263932578,6.524284975135232,4.548634142634149
YGR188C,8.656127417502358,7.830322171399902,8.154694657063612,5.6172481640289496,9.222349657351463,7.723679225173223,4.328252353192916,6.0752766573814725,8.554735015786921,5.176483540087274,6.2977508942477005,7.674089701527349,5.308576909573191,7.080655713394053,5.684890786905923,8.457937110866697,4.837228313330249,6.393959805225303,6.772188363909013,6.750844555499816,8.018887314198098,6.17687532958732,7.09894488826365,6.5876575988970565,8.41361128777656,6.70509466957387,4.4715531148199235,5.8356509731218384,5.9583707223031475,7.296773750590899,5.9204648431969,6.979582779409013,4.684331418759876,3.545296378774893,4.3957826658742585,6.765283314470498,5.133240905086484,6.4236585645786475,6.5717901470819875,3.998836143059988
